Genes	biological_process	cellular_component	molecular_function	kegg_pathway
ARF6	GO:0007155(cell adhesion);GO:0007049(cell cycle);GO:0051301(cell division);GO:1990090(cellular response to nerve growth factor stimulus);GO:0030866(cortical actin cytoskeleton organization);GO:0032456(endocytic recycling);GO:0090162(establishment of epithelial cell polarity);GO:0097284(hepatocyte apoptotic process);GO:0006886(intracellular protein transport);GO:0001889(liver development);GO:0099562(maintenance of postsynaptic density structure);GO:0033028(myeloid cell apoptotic process);GO:2000171(negative regulation of dendrite development);GO:2000009(negative regulation of protein localization to cell surface);GO:0048261(negative regulation of receptor-mediated endocytosis);GO:0030838(positive regulation of actin filament polymerization);GO:1903393(positive regulation of adherens junction organization);GO:0051549(positive regulation of keratinocyte migration);GO:0090073(positive regulation of protein homodimerization activity);GO:1903078(positive regulation of protein localization to plasma membrane);GO:0050714(positive regulation of protein secretion);GO:0034394(protein localization to cell surface);GO:0036010(protein localization to endosome);GO:0060998(regulation of dendritic spine development);GO:0051489(regulation of filopodium assembly);GO:1905606(regulation of presynapse assembly);GO:0035020(regulation of Rac protein signal transduction);GO:0097178(ruffle assembly);GO:0048488(synaptic vesicle endocytosis);GO:0016192(vesicle-mediated transport);GO:0030036(actin cytoskeleton organization);GO:0010975(regulation of neuron projection development)	GO:0005938(cell cortex);GO:0032154(cleavage furrow);GO:0005737(cytoplasm);GO:0005829(cytosol);GO:0031901(early endosome membrane);GO:0030139(endocytic vesicle);GO:0005768(endosome);GO:0070062(extracellular exosome);GO:0031527(filopodium membrane);GO:0090543(Flemming body);GO:0005925(focal adhesion);GO:0098978(glutamatergic synapse);GO:0005794(Golgi apparatus);GO:0016020(membrane);GO:0005886(plasma membrane);GO:0098793(presynapse);GO:0055038(recycling endosome membrane);GO:0001726(ruffle);GO:0005769(early endosome);GO:0055037(recycling endosome)	GO:0005525(GTP binding);GO:0003924(GTPase activity);GO:0047485(protein N-terminus binding);GO:0031996(thioesterase binding)	ko04144(Endocytosis);ko04072(Phospholipase D signaling pathway);ko04014(Ras signaling pathway);ko04666(Fc gamma R-mediated phagocytosis)
ARFGAP3	NA	NA	GO:0005096(GTPase activator activity);GO:0046872(metal ion binding)	ko04144(Endocytosis)
ARG1	GO:0006525(arginine metabolic process);GO:0000050(urea cycle)	NA	GO:0004053(arginase activity);GO:0046872(metal ion binding)	ko00330(Arginine and proline metabolism);ko00220(Arginine biosynthesis);ko01230(Biosynthesis of amino acids)
ARPC1A	GO:0034314(Arp2/3 complex-mediated actin nucleation)	GO:0005885(Arp2/3 protein complex);GO:0005737(cytoplasm)	GO:0003779(actin binding)	ko04810(Regulation of actin cytoskeleton);ko04144(Endocytosis);ko04666(Fc gamma R-mediated phagocytosis)
ARPC1B-B	GO:0034314(Arp2/3 complex-mediated actin nucleation);GO:0030217(T cell differentiation);GO:0002574(thrombocyte differentiation)	GO:0005885(Arp2/3 protein complex);GO:0005737(cytoplasm)	GO:0003779(actin binding)	ko04810(Regulation of actin cytoskeleton);ko04144(Endocytosis);ko04666(Fc gamma R-mediated phagocytosis)
ARPC2	GO:0030041(actin filament polymerization);GO:0034314(Arp2/3 complex-mediated actin nucleation)	GO:0005885(Arp2/3 protein complex);GO:0005737(cytoplasm)	GO:0003779(actin binding)	ko04810(Regulation of actin cytoskeleton);ko04144(Endocytosis);ko04666(Fc gamma R-mediated phagocytosis)
ARPC3-A	GO:0034314(Arp2/3 complex-mediated actin nucleation)	GO:0005885(Arp2/3 protein complex);GO:0005737(cytoplasm)	GO:0003779(actin binding)	ko04810(Regulation of actin cytoskeleton);ko04144(Endocytosis);ko04666(Fc gamma R-mediated phagocytosis)
ARSG	NA	NA	GO:0008484(sulfuric ester hydrolase activity)	ko04142(Lysosome)
ASAH1	GO:0006629(lipid metabolic process)	GO:0005764(lysosome)	GO:0016810(hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds)	ko04142(Lysosome);ko04071(Sphingolipid signaling pathway);ko00600(Sphingolipid metabolism)
ASS1	GO:0006526(arginine biosynthetic process)	NA	GO:0004055(argininosuccinate synthase activity);GO:0005524(ATP binding)	ko00250(Alanine, aspartate and glutamate metabolism);ko00220(Arginine biosynthesis);ko01230(Biosynthesis of amino acids)
ATF4	GO:0006357(regulation of transcription by RNA polymerase II)	GO:0005737(cytoplasm);GO:0005634(nucleus)	GO:0003700(DNA-binding transcription factor activity)	ko04210(Apoptosis);ko04214(Apoptosis - fly);ko04137(Mitophagy - animal);ko04010(MAPK signaling pathway);ko04151(PI3K-Akt signaling pathway);ko04668(TNF signaling pathway);ko04022(cGMP - PKG signaling pathway);ko04141(Protein processing in endoplasmic reticulum);ko04211(Longevity regulating pathway - mammal);ko04212(Longevity regulating pathway - worm);ko04261(Adrenergic signaling in cardiomyocytes);ko04925(Aldosterone synthesis and secretion);ko04915(Estrogen signaling pathway);ko04922(Glucagon signaling pathway);ko04912(GnRH signaling pathway);ko04911(Insulin secretion);ko04918(Thyroid hormone synthesis);ko04725(Cholinergic synapse);ko04728(Dopaminergic synapse);ko04720(Long-term potentiation);ko04722(Neurotrophin signaling pathway)
ATG3	GO:0006914(autophagy);GO:0015031(protein transport)	GO:0005737(cytoplasm)	NA	ko04140(Autophagy - animal);ko04136(Autophagy - other eukaryotes);ko04138(Autophagy - yeast)
ATG4B	GO:0006914(autophagy);GO:0015031(protein transport)	GO:0005737(cytoplasm)	GO:0004197(cysteine-type endopeptidase activity)	ko04140(Autophagy - animal);ko04136(Autophagy - other eukaryotes);ko04138(Autophagy - yeast)
ATG7	GO:0006914(autophagy)	GO:0005737(cytoplasm)	GO:0008641(ubiquitin-like modifier activating enzyme activity)	ko04216(Ferroptosis);ko04140(Autophagy - animal);ko04136(Autophagy - other eukaryotes);ko04138(Autophagy - yeast)
ATIC	GO:0006164(purine nucleotide biosynthetic process)	NA	GO:0003937(IMP cyclohydrolase activity);GO:0004643(phosphoribosylaminoimidazolecarboxamide formyltransferase activity)	ko00670(One carbon pool by folate);ko00230(Purine metabolism)
ATOX1	GO:0030001(metal ion transport)	NA	GO:0046872(metal ion binding)	ko04978(Mineral absorption)
ATP1B1	GO:0046034(ATP metabolic process);GO:0060048(cardiac muscle contraction);GO:0006874(cellular calcium ion homeostasis);GO:0030007(cellular potassium ion homeostasis);GO:0006883(cellular sodium ion homeostasis);GO:0086009(membrane repolarization);GO:1903281(positive regulation of calcium:sodium antiporter activity);GO:1903288(positive regulation of potassium ion import across plasma membrane);GO:1901018(positive regulation of potassium ion transmembrane transporter activity);GO:1903278(positive regulation of sodium ion export across plasma membrane);GO:1990573(potassium ion import across plasma membrane);GO:0072659(protein localization to plasma membrane);GO:0050821(protein stabilization);GO:0010882(regulation of cardiac muscle contraction by calcium ion signaling);GO:0010468(regulation of gene expression);GO:0055119(relaxation of cardiac muscle);GO:0036376(sodium ion export across plasma membrane)	GO:0016324(apical plasma membrane);GO:0016323(basolateral plasma membrane);GO:0005623(cell);GO:0014704(intercalated disc);GO:0031090(organelle membrane);GO:0005890(sodium:potassium-exchanging ATPase complex);GO:0036126(sperm flagellum);GO:0030315(T-tubule)	GO:0005524(ATP binding);GO:0001671(ATPase activator activity);GO:0016887(ATPase activity);GO:0051117(ATPase binding);GO:0030955(potassium ion binding);GO:0008022(protein C-terminus binding);GO:0019901(protein kinase binding);GO:0031402(sodium ion binding);GO:0005391(sodium:potassium-exchanging ATPase activity)	ko04024(cAMP signaling pathway);ko04022(cGMP - PKG signaling pathway);ko04261(Adrenergic signaling in cardiomyocytes);ko04260(Cardiac muscle contraction);ko04976(Bile secretion);ko04973(Carbohydrate digestion and absorption);ko04971(Gastric acid secretion);ko04978(Mineral absorption);ko04972(Pancreatic secretion);ko04974(Protein digestion and absorption);ko04970(Salivary secretion);ko04911(Insulin secretion);ko04919(Thyroid hormone signaling pathway);ko04918(Thyroid hormone synthesis);ko04960(Aldosterone-regulated sodium reabsorption);ko04961(Endocrine and other factor-regulated calcium reabsorption);ko04964(Proximal tubule bicarbonate reclamation)
ATP5F1A	GO:0015986(ATP synthesis coupled proton transport)	GO:0045261(proton-transporting ATP synthase complex, catalytic core F(1))	GO:0005524(ATP binding);GO:0046933(proton-transporting ATP synthase activity, rotational mechanism)	ko00190(Oxidative phosphorylation)
ATP5F1B	GO:0015986(ATP synthesis coupled proton transport)	GO:0045261(proton-transporting ATP synthase complex, catalytic core F(1))	GO:0005524(ATP binding);GO:0046933(proton-transporting ATP synthase activity, rotational mechanism)	ko00190(Oxidative phosphorylation)
ATP5F1C	GO:0015986(ATP synthesis coupled proton transport)	GO:0045261(proton-transporting ATP synthase complex, catalytic core F(1))	GO:0046933(proton-transporting ATP synthase activity, rotational mechanism)	ko00190(Oxidative phosphorylation)
ATP5F1D	GO:0015986(ATP synthesis coupled proton transport)	GO:0045261(proton-transporting ATP synthase complex, catalytic core F(1))	GO:0046933(proton-transporting ATP synthase activity, rotational mechanism)	ko00190(Oxidative phosphorylation)
ATP5F1E	GO:0015986(ATP synthesis coupled proton transport)	GO:0000275(mitochondrial proton-transporting ATP synthase complex, catalytic core F(1))	GO:0046933(proton-transporting ATP synthase activity, rotational mechanism)	ko00190(Oxidative phosphorylation)
ATP5MC1	GO:0015986(ATP synthesis coupled proton transport)	GO:0016021(integral component of membrane);GO:0000276(mitochondrial proton-transporting ATP synthase complex, coupling factor F(o));GO:0045263(proton-transporting ATP synthase complex, coupling factor F(o))	GO:0008289(lipid binding);GO:0046933(proton-transporting ATP synthase activity, rotational mechanism);GO:0015078(proton transmembrane transporter activity)	ko00190(Oxidative phosphorylation)
ATP5MC2	GO:0015986(ATP synthesis coupled proton transport)	GO:0016021(integral component of membrane);GO:0045263(proton-transporting ATP synthase complex, coupling factor F(o))	GO:0008289(lipid binding);GO:0015078(proton transmembrane transporter activity)	ko00190(Oxidative phosphorylation)
ATP5MC3	GO:0015986(ATP synthesis coupled proton transport)	GO:0016021(integral component of membrane);GO:0045263(proton-transporting ATP synthase complex, coupling factor F(o))	GO:0008289(lipid binding);GO:0015078(proton transmembrane transporter activity)	ko00190(Oxidative phosphorylation)
ATP5ME	GO:0015986(ATP synthesis coupled proton transport)	GO:0000276(mitochondrial proton-transporting ATP synthase complex, coupling factor F(o))	GO:0047624(adenosine-tetraphosphatase activity);GO:0015078(proton transmembrane transporter activity);GO:0016887(ATPase activity)	ko00190(Oxidative phosphorylation)
ATP5MF	NA	GO:0016021(integral component of membrane)	NA	ko00190(Oxidative phosphorylation)
ATP5MG	GO:0015986(ATP synthesis coupled proton transport)	GO:0000276(mitochondrial proton-transporting ATP synthase complex, coupling factor F(o))	GO:0015078(proton transmembrane transporter activity)	ko00190(Oxidative phosphorylation)
ATP5PB	GO:0015986(ATP synthesis coupled proton transport)	GO:0000276(mitochondrial proton-transporting ATP synthase complex, coupling factor F(o))	GO:0015078(proton transmembrane transporter activity)	ko00190(Oxidative phosphorylation)
ATP5PD	GO:0015986(ATP synthesis coupled proton transport)	GO:0000276(mitochondrial proton-transporting ATP synthase complex, coupling factor F(o))	GO:0015078(proton transmembrane transporter activity)	ko00190(Oxidative phosphorylation)
ATP5PF	GO:0015986(ATP synthesis coupled proton transport)	GO:0000276(mitochondrial proton-transporting ATP synthase complex, coupling factor F(o))	GO:0015078(proton transmembrane transporter activity)	ko00190(Oxidative phosphorylation)
ATP5PO	GO:0015986(ATP synthesis coupled proton transport)	NA	GO:0046933(proton-transporting ATP synthase activity, rotational mechanism)	ko00190(Oxidative phosphorylation)
ATP6AP2	GO:0035622(intrahepatic bile duct development)	GO:0016021(integral component of membrane)	GO:0038023(signaling receptor activity)	ko04614(Renin-angiotensin system)
ATP6V0B	GO:0048066(developmental pigmentation);GO:0060041(retina development in camera-type eye)	GO:0016021(integral component of membrane);GO:0033179(proton-transporting V-type ATPase, V0 domain)	GO:0015078(proton transmembrane transporter activity)	ko04142(Lysosome);ko04145(Phagosome);ko00190(Oxidative phosphorylation);ko04721(Synaptic vesicle cycle)
ATP6V0C	GO:0060059(embryonic retina morphogenesis in camera-type eye);GO:0060036(notochord cell vacuolation);GO:0001878(response to yeast)	GO:0016021(integral component of membrane);GO:0033179(proton-transporting V-type ATPase, V0 domain);GO:0005774(vacuolar membrane)	GO:0016787(hydrolase activity);GO:0015078(proton transmembrane transporter activity)	ko04142(Lysosome);ko04145(Phagosome);ko00190(Oxidative phosphorylation);ko04966(Collecting duct acid secretion);ko04721(Synaptic vesicle cycle)
ATP6V0E1	GO:0060059(embryonic retina morphogenesis in camera-type eye);GO:0007634(optokinetic behavior)	GO:0016021(integral component of membrane);GO:0033179(proton-transporting V-type ATPase, V0 domain)	GO:0016787(hydrolase activity);GO:0015078(proton transmembrane transporter activity)	ko04145(Phagosome);ko00190(Oxidative phosphorylation);ko04966(Collecting duct acid secretion);ko04721(Synaptic vesicle cycle)
ATP6V1B2	GO:0046034(ATP metabolic process);GO:1902600(proton transmembrane transport)	GO:0033180(proton-transporting V-type ATPase, V1 domain)	GO:0005524(ATP binding)	ko04145(Phagosome);ko04150(mTOR signaling pathway);ko00190(Oxidative phosphorylation);ko04966(Collecting duct acid secretion);ko04721(Synaptic vesicle cycle)
ATP6V1C1A	NA	GO:0033180(proton-transporting V-type ATPase, V1 domain)	GO:0015078(proton transmembrane transporter activity)	ko04145(Phagosome);ko04150(mTOR signaling pathway);ko00190(Oxidative phosphorylation);ko04966(Collecting duct acid secretion);ko04721(Synaptic vesicle cycle)
ATP6V1F	GO:0070121(Kupffers vesicle development);GO:0060036(notochord cell vacuolation);GO:0042127(regulation of cell population proliferation);GO:1902017(regulation of cilium assembly);GO:1901207(regulation of heart looping);GO:0060041(retina development in camera-type eye)	GO:0005886(plasma membrane);GO:0033180(proton-transporting V-type ATPase, V1 domain)	GO:0046961(proton-transporting ATPase activity, rotational mechanism)	ko04145(Phagosome);ko04150(mTOR signaling pathway);ko00190(Oxidative phosphorylation);ko04966(Collecting duct acid secretion);ko04721(Synaptic vesicle cycle)
ATP6V1G1	GO:1902600(proton transmembrane transport)	GO:0016471(vacuolar proton-transporting V-type ATPase complex)	GO:0042626(ATPase-coupled transmembrane transporter activity)	ko04145(Phagosome);ko04150(mTOR signaling pathway);ko00190(Oxidative phosphorylation);ko04966(Collecting duct acid secretion);ko04721(Synaptic vesicle cycle)
ATP6V1H	GO:0060348(bone development);GO:0030282(bone mineralization);GO:0048069(eye pigmentation);GO:0061075(positive regulation of neural retina development);GO:0060041(retina development in camera-type eye)	GO:0000221(vacuolar proton-transporting V-type ATPase, V1 domain)	GO:0046961(proton-transporting ATPase activity, rotational mechanism)	ko04142(Lysosome);ko04145(Phagosome);ko04150(mTOR signaling pathway);ko00190(Oxidative phosphorylation);ko04721(Synaptic vesicle cycle)
AUH	NA	NA	GO:0003824(catalytic activity)	ko00280(Valine, leucine and isoleucine degradation)
B2M	GO:0002474(antigen processing and presentation of peptide antigen via MHC class I);GO:0006955(immune response)	GO:0005576(extracellular region);GO:0042612(MHC class I protein complex)	NA	ko04612(Antigen processing and presentation)
B4GALT1	GO:0005975(carbohydrate metabolic process)	GO:0016021(integral component of membrane)	GO:0016757(transferase activity, transferring glycosyl groups)	ko00052(Galactose metabolism);ko00533(Glycosaminoglycan biosynthesis - keratan sulfate);ko00601(Glycosphingolipid biosynthesis - lacto and neolacto series);ko00515(Mannose type O-glycan biosyntheis);ko00510(N-Glycan biosynthesis);ko00514(Other types of O-glycan biosynthesis);ko00513(Various types of N-glycan biosynthesis)
BAG2	NA	NA	GO:0000774(adenyl-nucleotide exchange factor activity);GO:0051087(chaperone binding)	ko04141(Protein processing in endoplasmic reticulum)
BAMBI	GO:0009953(dorsal/ventral pattern formation);GO:0030514(negative regulation of BMP signaling pathway);GO:0030512(negative regulation of transforming growth factor beta receptor signaling pathway);GO:0030168(platelet activation);GO:0090263(positive regulation of canonical Wnt signaling pathway)	GO:0016021(integral component of membrane)	NA	ko04350(TGF-beta signaling pathway);ko04310(Wnt signaling pathway)
BAX	GO:0042981(regulation of apoptotic process)	GO:0016021(integral component of membrane)	NA	ko04210(Apoptosis);ko04215(Apoptosis - multiple species);ko04217(Necroptosis);ko04115(p53 signaling pathway);ko04071(Sphingolipid signaling pathway);ko04141(Protein processing in endoplasmic reticulum);ko04211(Longevity regulating pathway - mammal);ko04722(Neurotrophin signaling pathway)
BCKDHA	GO:0009083(branched-chain amino acid catabolic process)	NA	GO:0003863(3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity);GO:0003826(alpha-ketoacid dehydrogenase activity)	ko00280(Valine, leucine and isoleucine degradation);ko00640(Propanoate metabolism)
BCKDHB	NA	NA	GO:0003824(catalytic activity)	ko00280(Valine, leucine and isoleucine degradation);ko00640(Propanoate metabolism)
BCO1	NA	NA	GO:0046872(metal ion binding);GO:0016702(oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen)	ko00830(Retinol metabolism)
BDH2	NA	NA	GO:0016491(oxidoreductase activity)	ko00650(Butanoate metabolism);ko00072(Synthesis and degradation of ketone bodies)
